end_date,p_mm,start_date
1915-01-12,62.08812289155073,1915-01-11
1915-01-13,66.50578253193243,1915-01-12
1915-02-02,62.268346818924456,1915-02-01
1915-06-03,55.78227867597523,1915-06-02
1915-10-01,68.45532852010474,1915-09-30
1915-10-02,81.5715337529532,1915-10-01
1915-12-18,57.630374384970146,1915-12-17
1915-12-29,58.14175139215061,1915-12-28
1916-03-22,63.90557193875638,1916-03-21
1916-08-04,73.82647953864692,1916-08-03
1916-08-05,78.16677229083197,1916-08-04
1916-12-28,59.980315495353665,1916-12-27
1917-01-22,88.66567888791064,1917-01-21
1917-02-28,68.58303535659525,1917-02-27
1917-03-04,56.50535309986447,1917-03-03
1917-05-28,88.40533584374568,1917-05-27
1918-02-20,59.12097729282325,1918-02-19
1918-04-10,61.62332062219421,1918-04-09
1918-08-31,68.31519892525696,1918-08-30
1918-09-01,55.754613739564654,1918-08-31
1918-12-11,64.176141313041,1918-12-10
1919-06-16,59.83936020215573,1919-06-15
1919-07-15,63.15007189454807,1919-07-14
1919-07-16,75.73859493620651,1919-07-15
1919-08-06,71.81552646879952,1919-08-05
1919-11-26,55.7757368735587,1919-11-25
1919-12-07,58.319208665425464,1919-12-06
1920-06-05,66.43894889852649,1920-06-04
1920-06-17,73.4908058817123,1920-06-16
1920-07-24,70.90689809665811,1920-07-23
1920-07-25,72.72007027997304,1920-07-24
1920-11-17,65.19097671471464,1920-11-16
1921-05-05,55.818165163821874,1921-05-04
1921-05-25,94.32352263781235,1921-05-24
1921-05-26,79.76641944912438,1921-05-25
1921-08-03,105.20734412544587,1921-08-02
1921-08-04,67.24133800456107,1921-08-03
1921-11-28,64.13558257347339,1921-11-27
1921-11-29,56.03236840732283,1921-11-28
1921-12-24,72.52105986773412,1921-12-23
1922-01-11,58.57550989681922,1922-01-10
1922-01-12,66.51581150439151,1922-01-11
1922-04-15,76.48882829928445,1922-04-14
1922-07-13,79.96235530405437,1922-07-12
1922-07-14,79.7856364170903,1922-07-13
1923-04-14,64.85835030632211,1923-04-13
1924-01-03,76.09383331456814,1924-01-02
1924-01-04,68.16261082600231,1924-01-03
1924-02-20,65.79474414908924,1924-02-19
1924-03-29,67.22036814535404,1924-03-28
1924-03-30,66.47792687599078,1924-03-29
1924-05-09,56.832562558606426,1924-05-08
1924-05-12,88.36082474050502,1924-05-11
1924-05-13,55.856622950967875,1924-05-12
1924-09-30,93.00409159865217,1924-09-29
1924-10-01,57.258593583662105,1924-09-30
1925-07-22,64.42008859914796,1925-07-21
1925-10-04,70.89897126480525,1925-10-03
1925-10-17,61.31044974152453,1925-10-16
1925-10-25,58.069024850245384,1925-10-24
1926-07-23,57.115788252535516,1926-07-22
1926-07-24,68.62354093365107,1926-07-23
1926-08-16,58.61433254488677,1926-08-15
1926-08-17,79.34475793573822,1926-08-16
1926-08-18,110.18699008207989,1926-08-17
1926-08-19,100.54608725580815,1926-08-18
1926-08-20,74.40743168759778,1926-08-19
1927-02-19,60.86279303648723,1927-02-18
1927-02-20,59.09986348017362,1927-02-19
1927-06-04,60.537039018212276,1927-06-03
1927-06-14,62.43020985060603,1927-06-13
1927-10-12,55.60780215826263,1927-10-11
1927-10-18,88.57368025194337,1927-10-17
1927-10-19,70.61534056050425,1927-10-18
1928-04-27,68.36717766599297,1928-04-26
1928-04-28,104.50791307712052,1928-04-27
1928-04-29,57.56511764878866,1928-04-28
1928-06-22,55.74344225756215,1928-06-21
1928-07-12,60.98144061464977,1928-07-11
1928-07-13,59.39940497928687,1928-07-12
1929-04-15,63.971865112367325,1929-04-14
1929-04-16,79.57268353091393,1929-04-15
1929-06-23,63.70840305729541,1929-06-22
