end_date,p_mm,start_date
1915-01-13,70.31594974485652,1915-01-11
1915-01-14,69.64018399405316,1915-01-12
1915-02-02,79.12001392790982,1915-01-31
1915-02-03,66.0944628736869,1915-02-01
1915-10-01,68.45532852010476,1915-09-29
1915-10-02,81.5715337529532,1915-09-30
1915-10-03,81.93440016254645,1915-10-01
1916-03-22,71.81140127928872,1916-03-20
1916-03-23,63.90557193875637,1916-03-21
1916-06-17,69.74300299236384,1916-06-15
1916-08-04,92.74745469294086,1916-08-02
1916-08-05,84.7056227179597,1916-08-03
1916-08-06,104.36871349389634,1916-08-04
1917-01-22,88.66567888791063,1917-01-20
1917-01-23,88.66567888791063,1917-01-21
1917-02-28,69.34533801734958,1917-02-26
1917-03-01,72.18060998004435,1917-02-27
1917-03-04,66.98866030118207,1917-03-02
1917-03-05,63.43253099739887,1917-03-03
1917-05-28,88.66844812977371,1917-05-26
1917-05-29,96.62219370041083,1917-05-27
1917-09-08,76.99182186374627,1917-09-06
1918-04-10,91.062721674894,1918-04-08
1918-04-11,65.79594221397494,1918-04-09
1918-04-12,73.95713420524677,1918-04-10
1918-08-31,73.70023946171376,1918-08-29
1918-09-01,68.31519892525695,1918-08-30
1918-12-11,68.19936601898391,1918-12-09
1918-12-12,64.76710893574774,1918-12-10
1919-01-02,64.75239722687732,1918-12-31
1919-01-03,71.92939035500937,1919-01-01
1919-05-10,62.97261553570975,1919-05-08
1919-06-16,74.86094470624847,1919-06-14
1919-06-17,74.45382846875621,1919-06-15
1919-07-15,72.649552547831,1919-07-13
1919-07-16,80.95878071446532,1919-07-14
1919-07-17,75.73859493620651,1919-07-15
1919-08-06,72.56455226344949,1919-08-04
1919-08-07,84.16029293586652,1919-08-05
1919-10-16,71.8603401011074,1919-10-14
1920-06-05,70.65732386385997,1920-06-03
1920-06-06,68.60357219555813,1920-06-04
1920-06-17,88.6742577096673,1920-06-15
1920-06-18,75.83616263744375,1920-06-16
1920-07-24,70.90731793408506,1920-07-22
1920-07-25,72.72265829474343,1920-07-23
1920-07-26,72.72007027997303,1920-07-24
1920-11-17,70.11680917722796,1920-11-15
1920-11-18,66.05795214665582,1920-11-16
1921-05-05,64.3127919970431,1921-05-03
1921-05-06,63.60488873972196,1921-05-04
1921-05-25,99.94156993548289,1921-05-23
1921-05-26,105.91931793324358,1921-05-24
1921-05-27,79.88380481233222,1921-05-25
1921-08-03,105.20734412544584,1921-08-01
1921-08-04,106.0264697155227,1921-08-02
1921-08-05,67.65735826529547,1921-08-03
1921-11-28,75.71276623502008,1921-11-26
1921-11-29,77.73772911267079,1921-11-27
1921-12-24,72.5210598677341,1921-12-22
1921-12-25,74.70050991729175,1921-12-23
