end_date,p_mm,start_date
1936-03-17,76.61058573412602,1936-03-17
1936-07-27,46.18494874382574,1936-07-27
1936-10-16,61.704522136203074,1936-10-16
1936-10-17,50.399520361713606,1936-10-17
1937-04-25,68.88406697159742,1937-04-25
1937-04-26,43.00624873142755,1937-04-26
1937-08-24,41.95801886499003,1937-08-24
1937-08-25,60.115302293909316,1937-08-25
1937-08-26,35.593249315924616,1937-08-26
1937-10-27,77.6538720265433,1937-10-27
1937-10-28,61.41400560930575,1937-10-28
1938-07-22,37.38662784840972,1938-07-22
1938-07-23,45.011030429275365,1938-07-23
1939-04-16,35.896111157913246,1939-04-16
1939-06-28,40.5309079237885,1939-06-28
1939-07-21,34.44904112573875,1939-07-21
1939-09-29,36.959754975268375,1939-09-29
1940-04-19,35.200611499011295,1940-04-19
1940-05-30,34.90091777733449,1940-05-30
1940-06-30,34.9680216759746,1940-06-30
1940-08-26,57.5742820708079,1940-08-26
1940-08-27,41.76447899130465,1940-08-27
1940-09-24,38.26380504427795,1940-09-24
1940-09-25,36.86496259766693,1940-09-25
1941-06-03,61.26467312130746,1941-06-03
1941-06-04,42.1044346328718,1941-06-04
1941-07-03,75.24624860420681,1941-07-03
1941-07-04,49.16577208678359,1941-07-04
1942-04-09,47.55837750237836,1942-04-09
1942-05-15,36.78880607333313,1942-05-15
1942-10-14,98.35981422083799,1942-10-14
1942-10-15,70.43132881821361,1942-10-15
1943-01-26,35.7975614134301,1943-01-26
1943-01-27,34.29109238197286,1943-01-27
1944-03-04,34.50400629939056,1944-03-04
1944-05-05,34.27349483904096,1944-05-05
1944-05-06,54.960110974549714,1944-05-06
1944-06-23,34.07138363514878,1944-06-23
1944-10-20,59.20097701537513,1944-10-20
1945-03-06,33.69969203719109,1945-03-06
1945-08-23,58.71648391952034,1945-08-23
1945-08-24,54.212436438172126,1945-08-24
1945-09-17,58.95578131464562,1945-09-17
1946-06-01,34.27056520241011,1946-06-01
1946-06-18,44.28728753164896,1946-06-18
1946-08-01,34.25936417346719,1946-08-01
1947-06-07,35.104913348529024,1947-06-07
1947-08-25,48.82138974070156,1947-08-25
1947-12-31,34.2587154215168,1947-12-31
1948-01-01,38.610602465677104,1948-01-01
1948-04-12,54.026177848787285,1948-04-12
1948-04-13,41.576390282537254,1948-04-13
1948-07-03,42.48424099655563,1948-07-03
1948-12-15,50.57297024452215,1948-12-15
1949-06-17,82.63261495773375,1949-06-17
1949-06-18,39.90017521116985,1949-06-18
1949-06-28,40.984930668094314,1949-06-28
1949-07-12,57.91133867342573,1949-07-12
1949-08-17,35.89568357479579,1949-08-17
1949-08-18,44.320398800648,1949-08-18
1950-01-31,37.897080815058345,1950-01-31
1950-09-21,53.795485896038045,1950-09-21
1950-09-22,35.644402138469225,1950-09-22
1951-01-31,44.664928296266496,1951-01-31
1951-06-13,49.44096182682296,1951-06-13
1952-03-11,41.21302091628655,1952-03-11
1952-11-20,35.378754266312036,1952-11-20
1952-11-21,71.9858262349038,1952-11-21
