,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
1915-10-01,38.35000000000001,38.075,40.775,37.775,39.449999999999996,41.1,39.574999999999996,39.65,38.925,38.425,38.199999999999996,40.325,39.225,41.9,41.525,40.625,39.974999999999994,39.949999999999996,43.150000000000006,41.325,40.099999999999994,41.625,41.175,40.75,41.25,43.45,43.0,40.65,42.875,43.824999999999996,44.45,46.25,45.5,48.725,47.45,45.775,41.125,39.875,43.1,45.875,48.300000000000004,48.224999999999994,46.75,51.475,51.12499999999999,50.6,49.5,44.475,44.425000000000004,45.7,47.35,48.325,48.85,47.775,57.825,58.225,55.7,52.55,51.199999999999996,47.925,48.1,49.225,49.575,45.025,42.05,60.900000000000006,62.7,62.150000000000006,56.050000000000004,56.675000000000004,49.875,52.025,49.25,51.1,51.949999999999996,47.474999999999994,48.675000000000004,59.925000000000004,60.475,57.55,58.449999999999996,58.925000000000004,52.5,52.0,51.800000000000004,54.8,54.65,61.7,57.7,56.575,53.175,54.575,52.925,54.15,52.05,50.775,55.65,59.675000000000004,56.725,53.349999999999994,55.1,51.175,51.975,49.825,50.85,55.900000000000006,55.150000000000006,43.575,46.55,51.5,47.95,50.55,48.175,48.225,48.5,48.575,50.599999999999994,39.974999999999994,45.15,42.65,46.65,43.4,44.975,44.65,51.400000000000006,40.725,45.35,40.9,48.475,50.625
1916-08-04,36.975,32.9,34.0,31.674999999999997,31.825000000000003,43.2,38.95,37.7,36.2,30.549999999999997,29.275,45.1,44.075,42.349999999999994,43.0,39.85,39.5,32.15,51.25,49.6,45.974999999999994,44.775,42.675,34.775,34.4,55.8,55.45,52.699999999999996,49.175,47.7,45.925,37.025,35.2,72.25,67.25,64.625,57.3,54.25,53.974999999999994,51.875,50.375,38.725,35.15,81.025,76.44999999999999,71.125,70.75,64.225,61.375,55.099999999999994,53.650000000000006,49.725,37.575,33.075,88.5,77.975,77.575,73.85,71.525,60.2,54.875,50.224999999999994,45.325,45.425,41.1,101.975,98.10000000000001,90.75,87.05000000000001,86.75,68.05,65.4,54.575,48.9,43.775,43.0,39.4,95.375,103.2,91.17500000000001,86.275,81.75,70.3,65.0,58.425,51.650000000000006,49.275,107.9,94.94999999999999,96.75,86.25,82.2,71.225,68.525,62.4,54.6,49.825,100.975,98.375,87.45,90.975,81.82499999999999,77.225,65.45,62.625,59.425,53.7,70.2,82.8,83.65,79.125,83.35,74.725,66.05,62.025000000000006,58.5,54.1,66.475,70.975,69.9,78.52499999999999,65.125,60.7,56.575,57.05,60.974999999999994,67.575,55.7,56.55,53.125
1917-05-27,41.325,42.5,42.775,39.45,39.375,45.7,44.099999999999994,43.425,41.35,39.375,39.025,48.974999999999994,47.324999999999996,45.974999999999994,46.525000000000006,43.75,43.9,41.8,54.725,53.625,49.725,47.3,45.55,44.175,43.925,57.125,57.15,53.849999999999994,49.15,48.225,47.8,48.475,45.35,66.47500000000001,64.05,62.325,54.95,52.9,50.05,51.324999999999996,51.775,50.349999999999994,46.125,70.45,67.89999999999999,65.6,67.475,57.875,60.6,51.225,52.325,51.6,50.025000000000006,48.125,77.97500000000001,75.0,69.14999999999999,61.05,60.800000000000004,53.175,54.55,54.375,51.8,49.85,46.45,78.8,83.80000000000001,82.925,68.85,68.25,54.2,59.900000000000006,55.075,54.8,52.525,51.875,51.824999999999996,72.4,77.42500000000001,71.175,71.625,71.775,61.225,58.5,58.2,57.974999999999994,57.3,76.65,71.625,70.9,65.6,66.42500000000001,61.25,62.95,58.675,55.925,57.675,77.52499999999999,72.925,68.125,67.275,63.074999999999996,62.550000000000004,56.775,58.025,61.125,58.525,61.15,64.85,68.625,64.2,62.45,58.525,55.95,54.45,53.675,55.9,59.7,59.699999999999996,56.99999999999999,61.400000000000006,51.575,50.975,50.3,57.85,54.125,55.5,47.425,54.425,55.725
1918-04-08,51.925,54.050000000000004,55.0,51.875,53.525,52.5,52.125,52.375,50.925,53.25,53.225,50.375,51.15,49.875,52.0,50.55,51.099999999999994,46.775,54.575,53.275,50.125,51.625,50.925000000000004,44.400000000000006,44.875,54.45,54.525000000000006,51.349999999999994,49.0,49.175000000000004,49.125,45.25,41.95,60.575,58.925000000000004,57.775,50.225,48.5,49.375,50.3,53.775000000000006,44.95,41.35,61.225,60.599999999999994,60.5,62.074999999999996,52.925,55.15,48.475,51.5,51.275000000000006,43.2,41.325,68.175,64.65,61.7,57.75,54.575,51.45,50.8,48.725,50.300000000000004,41.300000000000004,39.150000000000006,69.35,73.775,68.125,64.525,58.725,55.575,56.775000000000006,53.8,51.099999999999994,51.550000000000004,42.0,40.1,64.525,71.275,65.1,63.925,62.575,58.4,57.474999999999994,58.325,54.6,43.975,67.875,63.65,65.675,61.175,61.325,56.725,57.650000000000006,58.8,57.625,54.375,64.825,60.95,58.95,60.65,58.675,56.775,51.525,55.075,57.55,52.375,42.575,47.65,54.35,50.65,52.15,49.975,49.2,49.625,52.025,54.475,37.125,43.5,43.275,47.725,44.775,46.275,45.625,55.425,39.175,44.95,42.975,53.225,61.525000000000006
1919-08-05,58.724999999999994,55.525,57.75,53.9,54.125,60.025,55.275,55.95,54.8,55.05,53.675,53.45,53.825,53.025000000000006,57.175,54.675,55.75,54.6,53.775,53.9,51.55,54.2,53.8,54.075,55.375,50.525,52.25,51.725,52.225,53.35,54.05,54.724999999999994,54.35,54.725,52.824999999999996,52.925,49.15,48.7,53.375,54.525,56.2,55.324999999999996,52.900000000000006,53.7,52.55,51.025000000000006,53.25,50.85,51.175000000000004,51.625,53.95,53.55,52.775,46.075,53.6,49.125,51.6,52.225,54.05,48.9,48.025000000000006,47.125,52.275000000000006,46.05,44.625,54.95,55.5,54.475,55.8,59.775,50.699999999999996,52.974999999999994,48.2,46.9,50.625,40.95,40.125,46.875,53.225,49.725,50.2,51.45,48.1,48.625,48.125,46.9,47.825,51.05,45.95,49.525000000000006,46.95,48.0,45.375,47.65,47.724999999999994,46.3,46.849999999999994,49.65,47.95,43.324999999999996,48.1,45.925,46.85,43.2,45.425,45.875,46.0,39.025000000000006,43.975,43.5,41.3,46.875,44.6,41.45,42.125,43.55,44.75,38.55,40.825,39.849999999999994,46.050000000000004,39.975,39.7,41.3,45.925,37.775,43.075,39.65,43.625,44.925
1920-06-15,78.0,83.775,87.775,82.2,81.525,85.775,76.325,74.55000000000001,73.575,72.375,71.25,77.8,76.425,72.8,73.2,71.42500000000001,69.825,68.95,71.925,72.05,70.925,69.825,68.775,67.25,67.85,67.25,67.5,67.175,67.025,66.225,65.7,66.675,63.849999999999994,61.625,61.725,62.25,60.475,61.75,63.6,64.75,66.5,63.625,59.55,55.2,58.15,60.775000000000006,61.0,58.95,61.775,59.099999999999994,61.325,59.925,57.825,46.575,57.425,52.575,55.125,54.6,55.375,47.125,45.875,42.8,44.7,44.875,43.650000000000006,55.775,56.575,51.95,55.900000000000006,58.650000000000006,48.475,49.3,42.175,40.35,40.4,28.7,28.0,50.525,54.099999999999994,50.025000000000006,49.6,48.975,48.275000000000006,46.05,43.675,40.425,38.7,52.825,49.275,48.475,44.275000000000006,45.2,44.6,45.2,42.825,39.800000000000004,37.775,49.55,46.900000000000006,44.0,44.775000000000006,40.625,43.35,39.3,40.575,33.875,32.225,26.275,31.875,39.099999999999994,37.275,38.275,36.65,32.6,32.35,31.349999999999998,30.65,21.25,25.125,25.275,28.974999999999998,27.75,28.375,30.175,30.65,21.05,23.45,26.05,29.299999999999997,29.049999999999997
1921-08-02,64.30000000000001,61.75,64.7,61.425,63.125,72.525,65.67500000000001,65.125,63.75,64.35,63.35,60.75,59.25,67.575,71.1,67.7,69.025,67.95,64.225,62.25,57.975,71.225,70.25,70.375,72.125,64.975,64.9,62.150000000000006,63.325,62.775,61.8,62.65,61.900000000000006,76.8,72.0,69.925,62.875,60.324999999999996,66.475,65.7,65.65,64.675,61.2,78.25,74.8,70.675,71.65,66.4,64.85,65.325,65.925,63.300000000000004,62.35,59.725,79.1,72.47500000000001,74.35,73.2,73.60000000000001,64.525,61.35000000000001,58.45,49.550000000000004,53.650000000000006,51.275000000000006,84.65,83.42500000000001,79.6,79.125,82.07499999999999,67.275,67.825,59.575,56.125,47.975,47.974999999999994,60.224999999999994,75.0,82.17500000000001,74.2,72.2,71.375,64.175,62.425,59.35,55.724999999999994,54.900000000000006,80.525,72.175,74.3,67.875,66.725,60.625,61.12499999999999,58.7,54.5,53.099999999999994,68.325,69.325,63.675,66.7,62.05,61.325,54.550000000000004,55.175,49.575,47.224999999999994,34.975,47.825,53.325,54.0,57.25,54.425,47.224999999999994,46.425,46.05,45.2,30.249999999999996,38.425,42.375,52.05,40.675000000000004,40.325,41.175,44.5,35.025,36.15,35.7,39.225,39.625
1922-07-13,18.375,17.225,16.675,15.975,14.975,24.575,22.225,20.85,19.475,18.475,17.4,37.55,32.6,26.525,24.95,22.8,22.05,20.275,43.575,42.625,38.625,29.05,26.0,24.15,23.8,47.15,49.375,47.825,38.825,36.6,35.2,30.975,27.025,54.125,53.675,53.425,49.725,48.925,40.725,40.4,44.45,34.625,30.425,55.375,55.0,54.825,58.425,52.475,57.5,40.175,42.975,42.625,34.775000000000006,33.1,64.05,66.55,63.475,56.15,59.5,51.15,52.974999999999994,54.2,48.625,36.1,34.3,60.225,68.5,72.55,62.15,66.05,48.7,57.875,51.925000000000004,55.425,49.074999999999996,48.949999999999996,37.675,54.075,58.55,55.975,59.725,62.2,54.525,52.725,53.099999999999994,56.975,58.15,58.0,54.775,55.925,49.949999999999996,54.050000000000004,53.05,56.825,52.65,49.85,57.050000000000004,65.3,59.3,54.65,57.925,50.050000000000004,51.775,51.25,53.525,53.975,53.125,65.725,67.45,61.825,51.975,52.125,50.65,48.825,49.3,49.025,50.425,61.175,60.574999999999996,51.0,51.775,50.550000000000004,49.875,48.625,53.375,53.475,52.575,48.724999999999994,53.225,53.825
1923-04-13,50.775,50.85,51.3,47.95,49.025,51.725,50.875,50.625,48.725,48.575,48.150000000000006,48.975,49.45,48.425,50.025000000000006,48.275000000000006,48.325,50.025,52.224999999999994,50.800000000000004,47.75,49.45,48.425,47.275,48.825,51.125,51.15,48.2,47.474999999999994,47.725,47.725,48.425,46.15,54.95,53.625,52.8,46.15,44.724999999999994,47.300000000000004,48.3,51.725,48.575,46.175,53.0,52.95,53.375,55.3,47.575,50.025,45.849999999999994,48.925000000000004,48.85,47.025,46.900000000000006,56.825,54.625,52.875,50.15,47.925,45.65,45.525,43.975,45.425,45.1,44.675,55.2,59.8,56.3,54.2,50.1,48.075,49.7,47.6,45.6,46.175,44.375,45.825,49.8,56.0,52.175,52.2,52.1,49.375,49.275,50.625,47.875,48.4,52.825,49.75,52.0,49.25,50.2,47.35,48.925,50.625,50.325,48.15,53.875,49.625,47.85,49.225,48.075,47.3,43.475,47.074999999999996,50.224999999999994,46.225,39.925000000000004,42.65,47.150000000000006,43.325,43.95,42.325,42.225,42.95,45.425,48.1,35.825,40.25,38.1,41.375,38.4,39.6,40.449999999999996,49.425,36.025000000000006,40.35,37.925,46.974999999999994,50.9
1924-09-28,53.825,56.4,61.075,56.35,56.724999999999994,56.7,54.625,58.45,58.724999999999994,58.75,59.825,53.9,55.75,56.475,61.775,61.325,63.9,64.2,53.675,53.6,54.225,61.9,62.225,62.974999999999994,66.275,55.425,53.099999999999994,52.6,52.525,60.2,62.4,63.8,64.8,54.375,54.625,53.85,51.0,51.325,54.175,64.225,71.025,70.525,66.825,53.55,55.775000000000006,57.949999999999996,57.425,54.6,55.775000000000006,52.2,58.224999999999994,67.35000000000001,67.35,70.525,58.22500000000001,59.375,59.5,56.5,57.825,53.3,55.1,56.95,65.30000000000001,65.275,66.5,58.099999999999994,58.925000000000004,62.325,58.3,60.7,54.15,59.675,57.7,67.75,67.1,75.35,76.35,54.95,58.1,57.599999999999994,60.375,60.65,57.425000000000004,57.525,59.775,70.775,71.17500000000001,56.5,53.95,56.375,55.575,58.349999999999994,61.1,65.225,65.30000000000001,66.075,72.375,63.275000000000006,56.225,54.25,56.3,55.1,60.025,59.9,63.175000000000004,67.475,67.9,55.4,54.849999999999994,58.075,53.425,54.65,56.35,57.224999999999994,59.2,61.074999999999996,65.1,53.1,55.225,51.824999999999996,55.725,54.324999999999996,57.275,57.625,66.95,52.449999999999996,56.275,55.8,65.725,69.775
