,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
1915-10-01,33.325,33.125,35.525,32.975,34.525,35.85,34.55,34.65,34.05,33.675,33.55,32.25,31.275,36.725,36.425,35.65,35.15,35.175,34.45,32.85,31.775,36.625,36.275,35.925,36.4,34.875,34.3,32.25,38.6,39.55,40.225,42.175,41.55,39.625,38.375,36.75,32.8,31.575,39.0,41.625,43.95,44.175,42.925,42.575,41.9,41.075,39.8,35.425,35.1,41.575,43.2,44.25,44.975,44.1,48.45,48.95,46.575,43.8,42.675,40.05,40.4,41.525,41.825,41.775,39.15,52.825,53.6,52.45,46.875,47.2,41.55,43.5,41.475,43.325,44.15,40.4,45.7,53.325,52.75,49.175,49.15,49.075,43.55,43.225,43.325,46.25,46.6,54.15,50.35,48.45,44.675,45.2,43.55,44.525,43.05,42.425,47.125,45.95,45.725,43.55,44.825,41.375,41.875,40.2,41.325,46.825,46.825,22.825,29.0,35.6,34.975,37.9,36.775,38.325,39.15,39.875,42.3,18.525,26.7,28.25,33.05,32.3,34.7,35.475,41.95,24.55,30.3,30.95,38.2,41.325
1916-08-04,16.3,18.55,19.3,18.15,18.425,21.95,19.6,18.775,17.85,17.45,16.675,25.225,24.35,23.15,23.15,21.125,20.65,19.5,30.625,29.225,26.775,25.55,23.925,22.75,22.175,35.55,34.85,32.65,29.95,28.475,26.9,25.525,23.85,49.25,45.275,42.875,37.4,34.875,34.05,32.05,30.5,27.825,24.775,57.525,53.675,49.25,48.275,43.15,40.55,35.65,34.0,30.85,27.9,26.375,63.85,56.05,55.2,52.0,49.85,41.525,37.475,34.05,29.625,29.625,26.4,74.7,71.025,64.925,61.575,60.7,47.125,44.825,37.0,32.9,28.75,30.35,27.8,69.425,74.375,64.775,60.375,56.825,48.4,44.35,39.5,34.6,31.8,73.975,65.8,66.875,59.15,55.8,48.275,45.975,41.4,35.75,32.2,58.475,60.575,55.6,58.5,52.925,50.275,42.575,40.575,40.425,36.575,26.6,38.1,43.525,44.375,48.4,44.775,41.625,39.775,38.0,35.475,22.1,29.8,33.075,40.3,35.775,34.625,34.2,35.275,24.825,31.6,29.7,31.325,29.95
1917-01-22,23.425,23.775,24.275,23.35,24.15,25.3,25.175,25.325,24.3,24.275,23.975,28.4,28.0,26.025,27.125,24.475,25.975,25.975,31.15,30.55,28.025,25.675,24.725,24.4,25.05,31.025,30.675,29.175,22.775,22.975,22.775,25.525,24.975,33.975,33.05,32.35,27.425,27.175,23.3,23.9,24.55,26.5,25.35,32.1,33.875,34.75,35.275,30.475,31.65,23.675,24.625,23.95,25.725,25.325,36.2,34.925,34.95,33.975,34.625,29.85,28.975,27.825,29.4,28.075,24.85,37.25,39.1,38.1,37.6,39.25,32.825,34.95,30.6,28.9,29.25,28.575,29.825,31.25,39.125,35.4,35.525,37.725,33.975,33.325,33.75,31.05,30.075,36.1,31.55,37.775,36.35,36.7,33.075,34.175,35.475,34.075,30.625,44.675,38.225,32.025,40.4,39.25,38.6,31.025,33.6,33.725,30.7,44.8,42.775,43.65,35.525,40.95,36.5,31.9,30.575,31.25,32.575,45.075,43.525,36.475,41.825,30.05,29.075,29.15,36.2,36.1,39.375,27.625,33.3,35.225
1918-08-31,37.0,34.775,35.325,32.175,31.475,39.75,35.5,34.475,32.8,31.9,30.025,41.125,40.675,34.575,35.675,33.1,32.625,30.825,42.1,41.55,39.3,34.125,32.875,31.975,31.55,40.375,41.225,40.375,31.8,31.575,31.075,23.675,22.525,43.925,42.15,42.025,38.8,38.275,31.65,31.325,31.275,23.2,21.15,41.325,40.75,39.85,41.8,40.05,40.35,29.55,29.8,28.55,21.325,19.7,39.2,35.4,37.275,37.375,37.975,33.375,31.625,29.95,27.1,25.2,18.25,36.4,37.875,37.9,39.05,41.5,34.425,34.75,30.275,28.15,25.15,23.825,19.625,29.275,34.4,33.375,34.425,35.425,32.65,32.05,30.325,28.0,26.95,32.925,30.15,32.85,32.025,33.125,31.1,31.85,30.55,27.925,26.4,40.475,36.55,32.525,34.25,32.725,33.025,29.7,29.925,25.875,23.925,43.45,44.15,40.225,36.425,36.525,33.6,27.95,26.875,25.925,24.45,45.45,41.225,36.75,39.425,29.525,27.3,26.275,26.7,37.725,35.875,27.4,27.325,25.15
1919-07-15,40.35,39.425,40.2,40.625,40.4,43.425,41.35,33.8,32.825,32.425,31.95,46.6,41.525,43.025,34.175,32.65,33.075,31.975,47.975,48.25,44.85,34.225,32.05,31.3,32.575,45.375,48.975,49.0,33.25,31.525,30.325,32.6,29.45,44.075,45.075,46.575,45.075,46.05,30.9,30.825,33.95,31.6,28.675,39.075,40.325,41.95,46.775,43.975,50.425,27.375,29.375,29.075,27.7,19.65,40.6,40.175,39.075,34.925,37.025,31.6,32.275,32.5,31.3,18.9,17.9,31.475,37.8,41.8,36.825,39.7,29.325,34.525,30.425,31.825,29.225,23.575,22.375,25.325,29.5,30.175,33.825,36.275,32.175,31.025,30.8,32.225,31.95,28.375,27.35,29.4,27.7,31.125,31.1,33.4,30.55,28.175,31.15,42.05,35.525,32.1,33.85,29.725,31.05,30.7,31.6,29.125,27.575,55.95,52.85,44.975,36.05,34.25,32.575,29.4,28.925,27.8,27.375,54.2,47.8,37.325,35.625,33.575,31.7,29.55,30.825,41.825,39.125,32.275,33.225,31.425
1920-07-24,25.225,19.625,19.25,18.825,18.175,33.0,30.5,20.375,19.175,18.525,18.025,41.725,35.875,36.15,23.925,22.0,21.65,20.45,47.5,46.225,41.8,27.05,24.325,22.925,23.15,50.375,52.675,51.025,30.4,27.525,25.375,26.2,22.85,55.7,55.4,55.45,51.9,51.35,30.725,29.2,30.7,27.375,23.875,53.95,54.2,54.7,59.05,53.675,59.425,29.075,29.675,28.0,25.45,19.6,59.45,60.075,57.275,50.2,52.25,43.775,43.925,43.575,32.75,20.95,19.45,51.175,59.5,63.825,54.775,57.65,41.65,48.025,41.425,42.55,31.775,36.625,35.1,43.825,48.875,48.025,51.975,54.15,46.8,44.05,42.7,43.65,42.375,48.175,46.05,47.625,43.4,47.275,46.0,48.15,42.975,38.675,41.725,63.85,55.475,50.55,52.025,44.85,45.95,44.5,44.8,42.2,39.125,76.925,74.775,65.35,53.35,49.8,47.175,43.35,42.225,40.075,38.8,73.575,66.575,53.025,51.25,48.0,45.325,42.0,43.325,57.925,54.05,44.975,46.125,43.175
1921-05-25,31.15,31.05,30.95,28.175,27.7,34.875,33.45,32.7,30.9,29.125,28.5,34.025,32.75,35.125,35.3,32.925,32.7,30.75,38.075,37.1,34.2,36.175,34.575,33.175,32.575,40.175,39.85,37.225,38.4,37.6,37.2,35.15,32.525,47.75,45.6,44.0,38.45,36.625,39.275,40.15,40.425,36.8,33.4,51.775,49.35,47.075,47.8,40.5,41.925,40.325,41.05,40.375,36.9,35.15,58.35,55.375,50.275,43.75,43.075,37.3,37.975,37.6,35.6,37.575,36.575,61.375,63.75,61.65,50.15,48.85,38.275,41.875,38.225,37.875,36.075,36.55,38.525,58.225,60.8,54.2,53.0,51.9,43.45,40.95,40.35,40.0,39.45,60.325,55.8,54.35,48.775,48.075,43.375,43.85,40.425,38.275,39.425,50.075,50.35,47.8,48.125,44.4,43.325,38.825,39.3,39.625,37.625,23.725,31.375,37.975,38.0,39.95,37.9,35.55,34.375,33.7,35.0,19.7,25.5,27.975,32.55,29.45,29.725,29.7,34.5,22.225,26.5,25.4,30.025,31.525
1922-07-13,18.375,17.225,16.675,15.975,14.975,24.575,22.225,20.85,19.475,18.475,17.4,37.55,32.6,26.525,24.95,22.8,22.05,20.275,43.575,42.625,38.625,29.05,26.0,24.15,23.8,47.15,49.375,47.825,38.6,36.375,34.95,30.725,26.775,54.125,53.675,53.425,49.725,48.925,40.475,40.125,44.1,34.325,30.125,55.375,55.0,54.825,58.425,52.475,57.5,39.925,42.65,42.25,34.45,32.75,64.05,66.45,63.35,56.0,59.275,50.9,52.675,53.85,48.25,35.525,33.675,60.2,68.45,72.45,62.025,65.85,48.5,57.575,51.6,55.025,48.65,48.3,37.05,54.075,58.55,55.95,59.65,62.075,54.35,52.5,52.8,56.575,57.675,58.0,54.775,55.9,49.9,53.975,52.925,56.625,52.375,49.525,56.6,65.3,59.3,54.65,57.875,49.975,51.675,51.1,53.3,53.7,52.775,65.725,67.45,61.825,51.975,52.05,50.55,48.7,49.125,48.8,50.125,61.175,60.525,50.95,51.675,50.45,49.725,48.425,53.075,53.4,52.475,48.55,52.975,53.475
1923-04-13,19.9,19.85,19.925,18.55,18.85,20.85,20.375,20.175,19.3,19.1,18.8,21.675,21.825,19.85,20.35,19.475,19.325,19.825,23.825,23.1,21.65,20.525,19.9,19.225,19.65,24.05,23.975,22.5,20.675,20.675,20.575,20.5,19.325,26.8,26.05,25.525,22.175,21.4,20.975,21.275,22.65,20.9,19.625,26.55,26.45,26.55,27.375,23.425,24.45,20.65,21.85,21.675,20.525,20.225,29.0,27.95,27.0,25.525,24.3,23.025,22.85,21.975,22.2,18.225,17.55,28.45,30.875,29.075,27.95,25.75,24.575,25.25,24.0,22.85,22.75,20.025,18.45,25.575,28.925,27.1,27.175,27.1,25.575,25.375,25.85,24.225,24.275,27.35,25.825,27.15,25.85,26.4,24.85,25.55,26.225,25.8,24.4,29.875,26.9,25.75,26.35,25.725,25.25,23.075,24.775,26.5,24.125,25.475,25.8,27.425,24.6,24.425,23.25,23.05,23.225,24.275,25.35,23.575,25.075,22.8,24.075,21.675,21.925,22.025,26.45,22.35,23.875,21.2,25.65,27.175
1924-01-03,44.125,44.3,44.625,42.25,40.45,46.25,45.7,45.525,43.2,42.6,38.65,47.4,46.7,45.475,47.075,42.125,44.25,40.325,49.65,48.725,44.8,40.675,38.55,37.375,37.525,47.2,46.775,44.625,36.05,36.275,37.3,37.325,36.075,48.725,47.65,46.95,40.15,39.975,35.225,36.075,34.575,33.0,31.0,43.65,46.35,47.925,49.125,42.85,44.975,34.275,35.525,32.425,30.85,29.8,47.4,44.25,44.025,42.425,42.725,36.35,34.725,32.85,30.875,28.9,26.425,46.775,48.875,47.325,46.35,47.875,39.55,41.45,35.675,32.175,30.575,27.2,26.075,39.325,48.775,43.725,43.425,45.65,40.55,39.175,38.975,35.175,32.875,45.05,39.325,46.45,44.15,44.05,39.175,39.85,40.625,38.2,33.625,52.425,45.75,38.625,48.125,46.4,45.15,35.8,38.125,36.975,32.925,47.45,46.9,49.3,40.95,46.7,41.575,35.825,33.975,34.25,35.025,46.825,45.525,38.85,44.95,32.925,31.825,31.725,38.875,37.275,41.775,29.65,35.575,37.175
